atlas,roi_pos_id,roi_name,subgroup,placebo_change,verum_change,interaction
nonself,37,R_24dd_ROI,Somatomotor,0.1505385490428206,0.10326859791676268,-0.04726995112605792
nonself,197,L_7AL_ROI,Somatomotor,0.1467038841047814,0.0872577067230873,-0.05944617738169411
nonself,248,L_OP2-3_ROI,Somatomotor,0.03699705406410647,-0.035095843831535856,-0.07209289789564233
nonself,205,L_1_ROI,Somatomotor,0.20684752269273687,0.1285134132369654,-0.07833410945577146
nonself,47,R_3a_ROI,Somatomotor,0.11265303863359799,0.01772898932515643,-0.09492404930844156
nonself,33,R_5m_ROI,Somatomotor,0.24447679371170716,0.13472465230720143,-0.10975214140450573
nonself,246,L_OP4_ROI,Somatomotor,0.1690169181333574,0.0567637362746547,-0.1122531818587027
nonself,9,R_3b_ROI,Somatomotor,0.12150391049460385,0.00684112643096535,-0.1146627840636385
nonself,39,R_7AL_ROI,Somatomotor,0.3227309950719479,0.19916178967349607,-0.12356920539845184
nonself,195,L_5L_ROI,Somatomotor,0.31805461770454313,0.16394998572617814,-0.154104631978365
nonself,88,R_OP4_ROI,Somatomotor,0.13507098699225084,-0.01924364701616721,-0.15431463400841805
nonself,196,L_24dv_ROI,Somatomotor,0.12028361942736998,-0.05229840877335157,-0.17258202820072155
nonself,209,L_6mp_ROI,Somatomotor,0.26142187477965306,0.08389276797001699,-0.17752910680963607
nonself,50,R_6v_ROI,Somatomotor,0.21745277145603925,0.016414478312212655,-0.2010382931438266
nonself,210,L_6v_ROI,Somatomotor,0.33840216303710635,0.12899835707109863,-0.20940380596600772
nonself,46,R_2_ROI,Somatomotor,0.35645022893124834,0.13897927512045394,-0.2174709538107944
nonself,48,R_6d_ROI,Somatomotor,0.44605637731056635,0.2240504374957477,-0.22200593981481864
nonself,36,R_5L_ROI,Somatomotor,0.4094930540351531,0.16363778341560442,-0.2458552706195487
nonself,192,L_5m_ROI,Somatomotor,0.29394732188258077,0.023831242036265632,-0.27011607984631514
nonself,38,R_24dv_ROI,Somatomotor,0.2898569105223938,0.013378570091465924,-0.2764783404309279
nonself,202,L_7PC_ROI,Somatomotor,0.23975273904188787,-0.04360481904108049,-0.28335755808296836
nonself,281,L_DVT_ROI,Visual1,-0.07168103617647281,0.12019229808240528,0.1918733342588781
nonself,104,R_ProS_ROI,Visual1,0.13299149552715406,0.18596397289302713,0.05297247736587307
nonself,124,R_DVT_ROI,Visual1,0.2547804645756071,0.1892665417304964,-0.0655139228451107
nonself,263,L_ProS_ROI,Visual1,0.1999859756107618,0.12643744766607368,-0.07354852794468814
nonself,160,L_V1_ROI,Visual1,0.20934823005893044,0.0771096431935212,-0.13223858686540924
nonself,1,R_V1_ROI,Visual1,0.26291062281023025,-0.05680255885618246,-0.3197131816664127
nonself,171,L_V3A_ROI,Visual2,0.13214123948818823,0.3332816203878437,0.20114038089965547
nonself,21,R_MT_ROI,Visual2,0.16817619091898095,0.2728710811734554,0.10469489025447443
nonself,161,L_MST_ROI,Visual2,0.08075193680194515,0.17689553214061204,0.0961435953386669
nonself,16,R_V7_ROI,Visual2,0.05673533197420655,0.1477020218238141,0.09096668984960754
nonself,164,L_V3_ROI,Visual2,0.011557909705474767,0.0945341334828953,0.08297622377742053
nonself,133,R_VMV3_ROI,Visual2,0.17825827015895568,0.2524575261484445,0.07419925598948884
nonself,4,R_V2_ROI,Visual2,0.1853330970271201,0.2254910448975762,0.04015794787045612
nonself,6,R_V4_ROI,Visual2,0.028148989795480084,0.06538533775520161,0.03723634795972153
nonself,300,L_VVC_ROI,Visual2,0.12036316590986118,0.1557609487025995,0.03539778279273831
nonself,135,R_V4t_ROI,Visual2,0.16106390605423426,0.17691920029713648,0.015855294242902218
nonself,2,R_MST_ROI,Visual2,0.17436411524753614,0.18944837032302742,0.01508425507549127
nonself,292,L_VMV3_ROI,Visual2,0.08954739994708572,0.0942360207467332,0.0046886207996474916
nonself,203,L_LIPv_ROI,Visual2,0.03587473864688162,0.019331747894546947,-0.016542990752334674
